timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784560071935,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2150,0,5,18,0,0,1
1784560072136,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560071940,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2150,0,5,18,0,0,1
1784560071850,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,,2150,0,5,18,0,0,1
1784560072141,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560072143,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,,2150,0,5,18,0,0,1
1784560072197,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560072355,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560072402,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560072499,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2150,0,5,18,0,0,1
