timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784560072805,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2150,0,3,18,0,0,1
1784560072961,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560073196,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
1784560073014,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2150,0,3,18,0,0,1
1784560073339,0,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
1784560073200,14,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2150,0,3,18,0,0,14
1784560073561,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560073717,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560073834,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560073727,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2150,0,3,18,0,0,0
1784560073838,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2150,0,3,18,0,0,1
1784560073753,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
1784560074085,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560074437,0,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
1784560074437,0,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
1784560074449,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2150,0,3,18,0,0,1
1784560074428,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,1
1784560074448,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2150,0,3,18,0,0,1
1784560074877,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,15,0,0,1
1784560074974,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,15,0,0,1
1784560074868,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,15,0,0,1
1784560075175,0,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,0
1784560074914,3,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2150,0,3,15,0,0,2
1784560075261,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,1
1784560075177,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2150,0,3,13,0,0,1
